id1,id2,weight
0,1,1
0,9,1
1,0,1
1,2,1
1,10,1
2,1,1
2,3,1
2,11,1
3,2,1
3,4,1
3,12,1
4,3,1
4,5,1
4,13,1
5,4,1
5,6,1
5,14,1
6,5,1
6,7,1
6,15,1
7,6,1
7,8,1
7,16,1
8,7,1
8,17,1
9,0,1
9,10,1
9,18,1
10,1,1
10,9,1
10,11,1
10,19,1
11,2,1
11,10,1
11,12,1
11,20,1
12,3,1
12,11,1
12,13,1
12,21,1
13,4,1
13,12,1
13,14,1
13,22,1
14,5,1
14,13,1
14,15,1
14,23,1
15,6,1
15,14,1
15,16,1
15,24,1
16,7,1
16,15,1
16,17,1
16,25,1
17,8,1
17,16,1
17,26,1
18,9,1
18,19,1
18,27,1
19,10,1
19,18,1
19,20,1
19,28,1
20,11,1
20,19,1
20,21,1
20,29,1
21,12,1
21,20,1
21,22,1
21,30,1
22,13,1
22,21,1
22,23,1
22,31,1
23,14,1
23,22,1
23,24,1
23,32,1
24,15,1
24,23,1
24,25,1
24,33,1
25,16,1
25,24,1
25,26,1
25,34,1
26,17,1
26,25,1
26,35,1
27,18,1
27,28,1
27,36,1
28,19,1
28,27,1
28,29,1
28,37,1
29,20,1
29,28,1
29,30,1
29,38,1
30,21,1
30,29,1
30,31,1
30,39,1
31,22,1
31,30,1
31,32,1
31,40,1
32,23,1
32,31,1
32,33,1
32,41,1
33,24,1
33,32,1
33,34,1
33,42,1
34,25,1
34,33,1
34,35,1
34,43,1
35,26,1
35,34,1
35,44,1
36,27,1
36,37,1
36,45,1
37,28,1
37,36,1
37,38,1
37,46,1
38,29,1
38,37,1
38,39,1
38,47,1
39,30,1
39,38,1
39,40,1
39,48,1
40,31,1
40,39,1
40,41,1
40,49,1
41,32,1
41,40,1
41,42,1
41,50,1
42,33,1
42,41,1
42,43,1
42,51,1
43,34,1
43,42,1
43,44,1
43,52,1
44,35,1
44,43,1
44,53,1
45,36,1
45,46,1
45,54,1
46,37,1
46,45,1
46,47,1
46,55,1
47,38,1
47,46,1
47,48,1
47,56,1
48,39,1
48,47,1
48,49,1
48,57,1
49,40,1
49,48,1
49,50,1
49,58,1
50,41,1
50,49,1
50,51,1
50,59,1
51,42,1
51,50,1
51,52,1
51,60,1
52,43,1
52,51,1
52,53,1
52,61,1
53,44,1
53,52,1
53,62,1
54,45,1
54,55,1
54,63,1
55,46,1
55,54,1
55,56,1
55,64,1
56,47,1
56,55,1
56,57,1
56,65,1
57,48,1
57,56,1
57,58,1
57,66,1
58,49,1
58,57,1
58,59,1
58,67,1
59,50,1
59,58,1
59,60,1
59,68,1
60,51,1
60,59,1
60,61,1
60,69,1
61,52,1
61,60,1
61,62,1
61,70,1
62,53,1
62,61,1
62,71,1
63,54,1
63,64,1
63,72,1
64,55,1
64,63,1
64,65,1
64,73,1
65,56,1
65,64,1
65,66,1
65,74,1
66,57,1
66,65,1
66,67,1
66,75,1
67,58,1
67,66,1
67,68,1
67,76,1
68,59,1
68,67,1
68,69,1
68,77,1
69,60,1
69,68,1
69,70,1
69,78,1
70,61,1
70,69,1
70,71,1
70,79,1
71,62,1
71,70,1
71,80,1
72,63,1
72,73,1
73,64,1
73,72,1
73,74,1
74,65,1
74,73,1
74,75,1
75,66,1
75,74,1
75,76,1
76,67,1
76,75,1
76,77,1
77,68,1
77,76,1
77,78,1
78,69,1
78,77,1
78,79,1
79,70,1
79,78,1
79,80,1
80,71,1
80,79,1
